Time - Dev2/ai0,Temperature - Dev2/ai0
11:08:34 AM,85.8
11:08:34 AM,85.7
11:08:34 AM,86.1
11:08:34 AM,85
11:08:34 AM,85.4
11:08:34 AM,85.8
11:08:34 AM,85.1
11:08:34 AM,85.8
11:08:34 AM,85.4
11:08:34 AM,85
11:08:35 AM,84.7
11:08:35 AM,85
11:08:35 AM,85.8
11:08:35 AM,85.7
11:08:35 AM,85.4
11:08:35 AM,85.9
11:08:35 AM,86.5
11:08:35 AM,85.5
11:08:35 AM,85
11:08:35 AM,86.5
11:08:36 AM,84.8
11:08:36 AM,86.1
11:08:36 AM,85
11:08:36 AM,84.8
11:08:36 AM,85.9
11:08:36 AM,85.2
11:08:36 AM,85.1
11:08:36 AM,84.6
11:08:36 AM,85.3
11:08:36 AM,85.6
11:08:37 AM,84.8
11:08:37 AM,86.5
11:08:37 AM,86.3
11:08:37 AM,86.5
11:08:37 AM,85.6
11:08:37 AM,86.5
11:08:37 AM,86.1
11:08:37 AM,86.8
11:08:37 AM,85.5
11:08:37 AM,86.1
11:08:38 AM,86.4
11:08:38 AM,85.1
11:08:38 AM,85.1
11:08:38 AM,86.1
11:08:38 AM,85.4
11:08:38 AM,85.2
11:08:38 AM,84.5
11:08:38 AM,85.6
11:08:38 AM,86.3
11:08:38 AM,85.1
11:08:39 AM,85.8
11:08:39 AM,84.8
11:08:39 AM,85.7
11:08:39 AM,84.6
11:08:39 AM,85.1
11:08:39 AM,85.4
11:08:39 AM,84.7
11:08:39 AM,85.1
11:08:39 AM,85.4
11:08:39 AM,85.2
11:08:40 AM,85.2
11:08:40 AM,85.6
11:08:40 AM,85.9
11:08:40 AM,85.3
11:08:40 AM,85.1
11:08:40 AM,84.8
11:08:40 AM,85.9
11:08:40 AM,85.4
11:08:40 AM,85.2
11:08:40 AM,85.4
11:08:41 AM,85.5
11:08:41 AM,86.5
11:08:41 AM,85.8
11:08:41 AM,85.3
11:08:41 AM,85.6
11:08:41 AM,86.2
11:08:41 AM,85.5
11:08:41 AM,85.7
11:08:41 AM,86.8
11:08:41 AM,86.1
11:08:42 AM,86.2
11:08:42 AM,86.2
11:08:42 AM,85.7
11:08:42 AM,85.4
11:08:42 AM,85.8
11:08:42 AM,85.6
11:08:42 AM,86.1
11:08:42 AM,84.8
11:08:42 AM,84.8
11:08:42 AM,85.8
11:08:43 AM,84.3
11:08:43 AM,85.1
11:08:43 AM,86.3
11:08:43 AM,85.9
11:08:43 AM,85.1
11:08:43 AM,85.2
11:08:43 AM,85.5
11:08:43 AM,85.5
11:08:43 AM,84.6
11:08:43 AM,86.3
11:08:44 AM,86.5
11:08:44 AM,85.2
11:08:44 AM,85.1
11:08:44 AM,85.4
11:08:44 AM,84.5
11:08:44 AM,84.8
11:08:44 AM,84.6
11:08:44 AM,86.1
11:08:44 AM,83.4
11:08:44 AM,85.8
11:08:45 AM,85.3
11:08:45 AM,85.3
11:08:45 AM,84.8
11:08:45 AM,85.2
11:08:45 AM,85.9
11:08:45 AM,85.3
11:08:45 AM,85.8
11:08:45 AM,85.9
11:08:45 AM,85.1
11:08:45 AM,86.1
11:08:46 AM,85.7
11:08:46 AM,85.6
11:08:46 AM,86.1
11:08:46 AM,86
11:08:46 AM,85.2
11:08:46 AM,85.8
11:08:46 AM,85.2
11:08:46 AM,85.5
11:08:46 AM,85.9
11:08:46 AM,85.3
11:08:47 AM,85.4
11:08:47 AM,86.5
11:08:47 AM,85.1
11:08:47 AM,85.1
11:08:47 AM,84
11:08:47 AM,85.3
11:08:47 AM,85.6
11:08:47 AM,84.5
11:08:47 AM,85.4
11:08:47 AM,85.1
11:08:48 AM,84.6
11:08:48 AM,85.5
11:08:48 AM,85.3
11:08:48 AM,84.5
11:08:48 AM,84.2
11:08:48 AM,84.8
11:08:48 AM,85.6
11:08:48 AM,85.3
11:08:48 AM,84.8
11:08:48 AM,85.3
11:08:49 AM,86.3
11:08:49 AM,85.1
11:08:49 AM,85.7
11:08:49 AM,86.1
11:08:49 AM,85.8
11:08:49 AM,86
11:08:49 AM,85.6
11:08:49 AM,85.8
11:08:49 AM,85.7
11:08:49 AM,86.3
11:08:50 AM,85.4
11:08:50 AM,86.3
11:08:50 AM,86.2
11:08:50 AM,86.2
11:08:50 AM,85.8
11:08:50 AM,85.6
11:08:50 AM,85.5
11:08:50 AM,85.7
11:08:50 AM,84.4
11:08:50 AM,85.9
11:08:51 AM,85.6
11:08:51 AM,85.6
11:08:51 AM,84.9
11:08:51 AM,85.1
11:08:51 AM,85.2
11:08:51 AM,85.2
11:08:51 AM,84.7
11:08:51 AM,86.2
11:08:51 AM,84.8
11:08:51 AM,85.4
11:08:52 AM,85.8
11:08:52 AM,84.7
11:08:52 AM,85.9
11:08:52 AM,86.2
11:08:52 AM,84.3
11:08:52 AM,85.9
11:08:52 AM,85.6
11:08:52 AM,84.5
11:08:52 AM,85.2
11:08:52 AM,85.2
11:08:53 AM,85.1
11:08:53 AM,85.7
11:08:53 AM,85.4
11:08:53 AM,85.4
11:08:53 AM,86.9
11:08:53 AM,86.5
11:08:53 AM,85.6
11:08:53 AM,85.4
11:08:53 AM,86.1
11:08:53 AM,85.8
11:08:54 AM,85.8
11:08:54 AM,86
11:08:54 AM,85.6
11:08:54 AM,85.2
11:08:54 AM,86.1
11:08:54 AM,85.8
11:08:54 AM,86.2
11:08:54 AM,86.1
11:08:54 AM,85.2
11:08:54 AM,85.7
11:08:55 AM,86.1
11:08:55 AM,85.2
11:08:55 AM,84.3
11:08:55 AM,84.8
11:08:55 AM,85.4
11:08:55 AM,85.6
11:08:55 AM,84.4
11:08:55 AM,85.4
11:08:55 AM,84.9
11:08:55 AM,85.9
11:08:56 AM,85.3
11:08:56 AM,85.7
11:08:56 AM,86.1
11:08:56 AM,85.9
11:08:56 AM,85.3
11:08:56 AM,85.1
11:08:56 AM,85.5
11:08:56 AM,85.2
11:08:56 AM,85.6
11:08:56 AM,85.4
11:08:57 AM,85.3
11:08:57 AM,85.3
11:08:57 AM,85.7
11:08:57 AM,85.5
11:08:57 AM,85.1
11:08:57 AM,85.3
11:08:57 AM,85.6
11:08:57 AM,85.5
11:08:57 AM,84.7
11:08:57 AM,86.1
11:08:58 AM,86.5
11:08:58 AM,86.1
11:08:58 AM,86.1
11:08:58 AM,86.1
11:08:58 AM,86.3
11:08:58 AM,85.4
11:08:58 AM,85.9
11:08:58 AM,85.9
11:08:58 AM,85.8
11:08:58 AM,85.1
11:08:59 AM,85.8
11:08:59 AM,86
11:08:59 AM,85.8
11:08:59 AM,86.1
11:08:59 AM,85.5
11:08:59 AM,86.1
11:08:59 AM,85.6
11:08:59 AM,85.1
11:08:59 AM,85.2
11:08:59 AM,85.4
11:09:00 AM,85.4
11:09:00 AM,84.9
11:09:00 AM,85.6
11:09:00 AM,84
11:09:00 AM,85.4
11:09:00 AM,85.4
11:09:00 AM,84.7
11:09:00 AM,84.8
11:09:00 AM,85.7
11:09:00 AM,86.5
11:09:01 AM,85.4
11:09:01 AM,86.5
11:09:01 AM,85.4
11:09:01 AM,85.2
11:09:01 AM,86.3
11:09:01 AM,86.1
11:09:01 AM,85.2
11:09:01 AM,85.8
11:09:01 AM,86.2
11:09:01 AM,86.8
11:09:02 AM,86.8
11:09:02 AM,86
11:09:02 AM,86.5
11:09:02 AM,85.8
11:09:02 AM,86
11:09:02 AM,85.9
11:09:02 AM,85.4
11:09:02 AM,85.8
11:09:02 AM,85.6
11:09:02 AM,85.5
11:09:03 AM,86.4
11:09:03 AM,85.6
11:09:03 AM,86.6
11:09:03 AM,85.4
11:09:03 AM,84.2
11:09:03 AM,84.4
11:09:03 AM,86.1
11:09:03 AM,85.8
11:09:03 AM,85.2
11:09:03 AM,85.4
11:09:04 AM,84.8
11:09:04 AM,84.5
11:09:04 AM,85.8
11:09:04 AM,85.4
11:09:04 AM,84.4
11:09:04 AM,84.9
11:09:04 AM,85.4
11:09:04 AM,85.5
11:09:04 AM,85.6
11:09:04 AM,85
11:09:05 AM,86.4
11:09:05 AM,84.8
11:09:05 AM,86.1
11:09:05 AM,84.3
11:09:05 AM,85.2
11:09:05 AM,86.2
11:09:05 AM,85.2
11:09:05 AM,84.4
11:09:05 AM,85.8
11:09:05 AM,85.5
11:09:06 AM,85.3
11:09:06 AM,86
11:09:06 AM,86
11:09:06 AM,86.1
11:09:06 AM,85.1
11:09:06 AM,86.8
11:09:06 AM,86.1
11:09:06 AM,86
11:09:06 AM,86.2
11:09:06 AM,84.6
11:09:07 AM,85.9
11:09:07 AM,84.9
11:09:07 AM,86.1
11:09:07 AM,85.4
11:09:07 AM,85.2
11:09:07 AM,86.5
11:09:07 AM,85.1
11:09:07 AM,85.4
11:09:07 AM,85.1
11:09:07 AM,85.8
11:09:08 AM,85.8
11:09:08 AM,86.5
11:09:08 AM,85.8
11:09:08 AM,85.2
11:09:08 AM,85.2
11:09:08 AM,85.4
11:09:08 AM,85.4
11:09:08 AM,85.6
11:09:08 AM,85.1
11:09:08 AM,85.3
11:09:09 AM,84.5
11:09:09 AM,86.1
11:09:09 AM,85.5
11:09:09 AM,85.5
11:09:09 AM,87.2
11:09:09 AM,85.7
11:09:09 AM,86.1
